hhno	gormet2	reg	lad	styr	stmth	mic	frez	owndw	memhh	schmilk	incgp	occhoh	sochoh	dacthoh	Finc_decile_by_members_of_hh	finctp	pernohoh	pernohw	agehoh_banded	agehw_banded	adltm	adltf	child	oaps	adltgt64	stqtr	country	gor	agemdk_banded	incgpa	hhcomp	hhcompa	hcxigs	dat1rec	doormilk	frij	earners	occxhoh	socxhoh	dactxhoh	szwkest	empst	wkdy1rec	vegind	gornw	pernxhoh	jobsthoh	incgp745	withjob	landlord	furnish	benefits
207781		0	12	1993	1	0	1	5	1		8	9935	0	1	0	9	1	1	5	5	0	1	0	1	0	1	Wales	11	5	5	1	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	2	2	0	0					0
207782		0	12	1993	1	1	1	6	3		6	9945	0	1	6	5	1	1	3	3	0	1	2	0	0	1	Wales	11	3	5	2	2	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					1
207783		0	12	1993	1	0	1	4	2		8	9935	0	1	3	5	2	1	6	5	1	1	0	2	1	1	Wales	11	5	5	3	1	0	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
207784		0	12	1993	1	0	1	6	1		4	2144	0	1	0	9	1	1	4	4	0	1	0	0	0	1	Wales	11	4	3	1	1	3	4/1/1933 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207785		0	12	1993	1	0	0	6	2		4	1554	0	3	6	2	2	1	1	1	1	1	0	0	0	1	Wales	11	1	3	3	1	3	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
207786		0	12	1993	1	1	1	5	5		3	2524	0	1	9	2	2	1	4	3	1	1	3	0	0	1	Wales	11	3	2	6	5	18	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207787		0	12	1993	1	1	1	5	5		4	1921	0	1	8	6	2	1	4	3	2	1	2	0	0	1	Wales	11	3	3	10	7	27	29/12/1932 00:00:00		0	3	1554	0	3	0	2	3	0	2	3	0					0
207788		0	12	1993	1	0	1	5	1		8	9935	0	1	0	9	1	1	5	5	0	1	0	1	0	1	Wales	11	5	5	1	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	2	2	0	0					0
207789		0	12	1993	1	1	1	6	1		5	9975	0	1	0	8	1	1	2	2	1	0	0	0	0	1	Wales	11	2	4	1	1	4	28/12/1932 00:00:00		0	1	0	0	0	0	1	2	2	2	0	0					0
207790		0	12	1993	1	1	1	6	4		3	1554	0	3	9	6	2	1	3	2	1	1	2	0	0	1	Wales	11	2	2	5	4	14	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	1	2	0	0					0
207791		1	1016	1993	1	0	1	5	1		6	9955	0	1	7	2	1	1	7	7	0	1	0	0	1	1	Scotland	12	7	5	1	1	0	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	2	2	0	0					0
207792		1	1016	1993	1	0	0	6	1		3	2524	0	1	8	7	1	1	4	4	0	1	0	0	0	1	Scotland	12	4	2	1	1	2	29/12/1932 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
207793		1	1016	1993	1	1	1	6	5		3	644	0	2	0	9	2	1	3	3	1	1	3	0	0	1	Scotland	12	3	2	6	5	18	27/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207794		1	1016	1993	1	0	1	6	3		3	2514	0	1	0	9	2	1	4	4	1	1	1	0	0	1	Scotland	12	4	2	4	3	10	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207795		1	1016	1993	1	1	1	6	4		3	2514	0	1	0	9	2	1	3	3	1	1	2	0	0	1	Scotland	12	3	2	5	4	14	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207796		1	1016	1993	1	1	1	6	5		4	844	0	2	7	6	2	1	3	3	1	1	3	0	0	1	Scotland	12	3	3	6	5	19	28/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207797		1	1016	1993	1	0	0	5	1		7	9935	0	1	2	1	1	1	7	7	1	0	0	1	1	1	Scotland	12	7	4	1	1	4	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
207798		1	1016	1993	1	0	1	6	2		5	2514	0	1	0	9	1	1	5	5	1	1	0	0	1	1	Scotland	12	5	4	3	1	4	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207799		1	1016	1993	1	1	1	6	6		3	2344	0	1	10	5	2	1	4	4	4	1	1	0	0	1	Scotland	12	4	2	10	7	26	28/12/1932 00:00:00		0	4	0	0	0	0	2	2	0	2	0	0					0
207800		1	1039	1993	1	0	0	5	2		7	9935	0	1	2	5	1	1	6	6	0	2	0	1	1	1	Scotland	12	6	4	3	1	4	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	2	2	0	0					0
207801		1	1039	1993	1	0	1	1	5		7	9945	0	1	3	1	2	1	3	3	1	1	3	0	0	1	Scotland	12	3	4	6	5	20	27/12/1932 00:00:00		0	0	0	0	0	0	1	1	2	2	0	0					1
207802		1	1039	1993	1	1	1	2	3		8	9935	0	1	5	5	2	1	6	5	1	2	0	3	2	1	Scotland	12	5	5	8	1	0	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
207803		1	1039	1993	1	1	1	4	5		4	154	0	3	5	1	2	1	3	2	1	1	3	0	0	1	Scotland	12	2	3	6	5	19	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207804		1	1039	1993	1	1	1	5	2		7	9945	0	1	3	1	2	1	5	5	1	1	0	0	0	1	Scotland	12	5	4	3	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
207805		1	1039	1993	1	1	1	6	2		3	2524	0	1	0	5	2	1	5	5	1	1	0	0	0	1	Scotland	12	5	2	3	1	2	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207806		2	2007	1993	1	1	1	5	3		5	9955	0	1	5	1	1	1	5	5	1	1	1	1	0	1	England	1	5	4	4	3	12	3/1/1933 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
207807		2	2007	1993	1	1	1	6	4		3	2514	0	1	9	6	2	1	3	3	1	1	2	0	0	1	England	1	3	2	5	4	14	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207808		2	2007	1993	1	1	0	2	1		4	741	0	2	5	7	1	1	5	5	1	0	0	0	0	1	England	1	5	3	1	1	3	28/12/1932 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
207809		2	2007	1993	1	1	1	6	3		3	2422	0	1	7	7	2	1	3	3	1	1	1	0	0	1	England	1	3	2	4	3	10	29/12/1932 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
207810		2	2007	1993	1	0	1	5	1		7	9935	0	1	0	9	1	1	7	7	0	1	0	1	1	1	England	1	7	4	1	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
207811		2	2007	1993	1	1	1	5	2		8	9935	0	1	0	9	2	1	5	5	1	1	0	2	0	1	England	1	5	5	3	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
207812		3	3008	1993	1	1	1	1	2		7	9945	0	1	2	1	2	1	5	5	1	1	0	0	0	1	England	4	5	4	3	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
207813		3	3008	1993	1	1	0	1	3		7	9935	0	1	0	9	1	1	6	6	2	1	0	1	1	1	England	4	6	4	8	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					1
207814		3	3008	1993	1	1	1	6	1		3	354	0	3	8	7	1	1	3	3	1	0	0	0	0	1	England	4	3	2	1	1	2	4/1/1933 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207815		3	3008	1993	1	1	1	1	4		5	2354	0	2	3	1	2	1	3	3	2	1	1	0	0	1	England	4	3	4	10	7	28	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207816		3	3008	1993	1	1	1	1	3		7	9935	0	1	0	9	1	1	5	5	1	2	0	2	1	1	England	4	5	4	8	1	4	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
207817		3	3008	1993	1	0	1	1	3		7	9945	0	1	0	9	2	1	3	2	1	1	1	0	0	1	England	4	2	4	4	3	12	27/12/1932 00:00:00		0	0	0	0	0	0	2	2	2	2	0	0					0
207818		3	3008	1993	1	1	1	1	2		7	9945	0	1	2	1	2	1	3	2	1	1	0	0	0	1	England	4	2	4	3	1	4	29/12/1932 00:00:00		0	0	0	0	0	0	1	3	0	2	0	0					1
207819		3	3008	1993	1	1	1	6	3		4	1453	0	2	9	1	2	1	4	4	1	2	0	0	0	1	England	4	4	3	8	1	3	29/12/1932 00:00:00		0	3	0	0	0	0	2	3	0	2	0	0					0
207820		3	3016	1993	1	0	1	5	1		6	9955	0	1	5	4	1	1	6	6	1	0	0	0	1	1	England	4	6	5	1	1	0	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
207821		3	3016	1993	1	1	1	5	2		7	9935	0	1	3	4	2	1	6	6	1	1	0	2	2	1	England	4	6	4	3	1	4	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
207822		3	3016	1993	1	1	1	6	1		4	644	0	2	4	3	1	1	2	2	1	0	0	0	0	1	England	4	2	3	1	1	3	29/12/1932 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
207823		3	3016	1993	1	1	1	1	4		4	754	0	2	6	3	2	1	2	2	1	1	2	0	0	1	England	4	2	3	5	4	15	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207824		3	3016	1993	1	1	0	5	2		7	9935	0	1	3	4	2	1	6	5	1	1	0	2	1	1	England	4	5	4	3	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
207825		3	3016	1993	1	1	1	5	2		7	9935	0	1	4	3	2	1	6	6	1	1	0	2	2	1	England	4	6	4	3	1	4	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	2	2	0	0					0
207826		4	4006	1993	1	1	1	5	1		6	9955	0	1	6	1	1	1	5	5	0	1	0	0	0	1	England	3	5	5	1	1	0	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	0	1	0	0					0
207827		4	4006	1993	1	1	1	6	5		2	2514	0	1	10	1	2	1	3	3	1	2	2	0	0	1	England	3	3	1	10	7	25	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	1	0	0					0
207828		4	4006	1993	1	1	1	5	2		3	2354	0	2	9	1	2	1	4	5	1	1	0	0	0	1	England	3	5	2	3	1	2	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	2	1	0	0					0
207829		4	4006	1993	1	1	1	5	2		5	9935	0	1	0	9	2	1	6	5	1	1	0	1	1	1	England	3	5	4	3	1	4	27/12/1932 00:00:00		0	1	0	0	0	0	2	1	0	1	0	0					0
207830		4	4006	1993	1	1	1	5	1		8	9935	0	1	1	1	1	1	7	7	0	1	0	1	1	1	England	3	7	5	1	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	1	0	0					0
207831		4	4006	1993	1	1	1	5	5		5	9955	0	1	0	9	2	1	5	5	3	2	0	1	1	1	England	3	5	4	9	1	4	27/12/1932 00:00:00		0	1	0	0	0	0	2	1	0	1	0	0					0
207832		4	4006	1993	1	1	1	5	2		5	9995	0	1	0	9	2	1	5	4	1	1	0	0	0	1	England	3	4	4	3	1	4	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	1	0	0					0
207833		4	4006	1993	1	1	1	6	4		3	2052	0	1	9	1	2	1	3	2	1	1	2	0	0	1	England	3	2	2	5	4	14	27/12/1932 00:00:00		0	1	0	0	0	0	2	1	0	1	0	0					0
207834		4	4006	1993	1	1	1	5	2		3	2514	0	1	0	9	2	1	5	5	1	1	0	0	0	1	England	3	5	2	3	1	2	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	0	1	0	0					0
207835		4	4016	1993	1	1	1	5	4		3	2524	0	1	0	9	1	1	4	4	2	2	0	1	1	1	England	3	4	2	9	1	2	29/12/1932 00:00:00		0	2	0	0	0	0	2	4	0	1	0	0					0
207836		4	4016	1993	1	1	1	6	2		3	2524	0	1	9	5	1	1	2	2	1	1	0	0	0	1	England	3	2	2	3	1	2	1/1/1933 00:00:00		0	2	0	0	0	0	2	6	0	1	0	0					0
207837		4	4016	1993	1	0	0	1	4		3	2514	0	1	7	7	2	1	2	2	1	1	2	0	0	1	England	3	2	2	5	4	14	4/1/1933 00:00:00		0	1	0	0	0	0	2	2	0	1	0	0					0
207838		4	4016	1993	1	1	0	5	2		5	9945	0	1	4	1	2	1	5	5	1	1	0	0	0	1	England	3	5	4	3	1	4	3/1/1933 00:00:00		0	2	0	0	0	0	2	1	0	1	0	0					0
207839		4	4027	1993	1	0	1	5	2		7	9945	0	1	3	1	1	1	5	5	1	1	0	1	0	1	England	2	5	4	3	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	1	0	0					0
207840		4	4027	1993	1	1	1	6	2		8	9935	0	1	2	1	2	1	7	6	1	1	0	2	2	1	England	2	6	5	3	1	0	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	1	0	0					0
207841		4	4027	1993	1	1	1	6	3		3	2514	0	1	8	5	2	1	4	3	2	1	0	0	0	1	England	2	3	2	8	1	2	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	1	0	0					0
207842		4	4027	1993	1	0	1	5	2		7	9935	0	1	4	1	1	1	6	6	1	1	0	2	2	1	England	2	6	4	3	1	4	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	1	0	0					0
207843		4	4027	1993	1	1	1	5	2		6	9955	0	1	6	1	1	1	5	5	1	1	0	1	1	1	England	2	5	5	3	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	1	0	0					0
207844		4	4027	1993	1	1	1	6	4		3	2524	0	1	7	1	2	1	3	3	1	1	2	0	0	1	England	2	3	2	5	4	14	27/12/1932 00:00:00		0	3	0	0	0	0	2	1	0	1	0	0					0
207845		4	4027	1993	1	1	1	6	4		2	2524	0	1	9	3	2	1	3	3	1	1	2	0	0	1	England	2	3	1	5	4	13	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	1	0	0					0
207846		4	4027	1993	1	1	1	6	3		1	2144	0	1	10	1	2	1	3	3	1	1	1	0	0	1	England	2	3	1	4	3	9	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	1	0	0					0
207847		5	5039	1993	1	0	0	6	1		3	2514	0	1	7	3	1	1	3	3	1	0	0	0	0	1	England	5	3	2	1	1	2	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207848		5	5039	1993	1	0	1	1	2		8	9935	0	1	3	1	2	1	6	6	1	1	0	2	2	1	England	5	6	5	3	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
207849		5	5039	1993	1	1	1	5	4		4	1941	0	1	5	1	2	1	2	2	1	1	2	0	0	1	England	5	2	3	5	4	15	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207850		5	5039	1993	1	1	1	5	2		3	2514	0	1	9	3	2	1	5	4	1	1	0	0	0	1	England	5	4	2	3	1	2	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207851		5	5039	1993	1	0	0	5	1		8	9935	0	1	1	1	1	1	6	6	0	1	0	1	1	1	England	5	6	5	1	1	0	1/1/1933 00:00:00		0	0	0	0	0	0	2	6	0	2	0	0					0
207852		5	5039	1993	1	1	1	6	4		4	1441	0	2	7	5	2	1	3	3	1	1	2	0	0	1	England	5	3	3	5	4	15	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207853		5	5039	1993	1	1	1	5	2		8	9945	0	1	0	9	2	1	6	6	1	1	0	1	2	1	England	5	6	5	3	1	0	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	2	2	0	0					0
207854		5	5039	1993	1	1	1	5	4		3	1243	0	2	7	5	2	1	3	3	1	1	2	0	0	1	England	5	3	2	5	4	14	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207855		6	6005	1993	1	1	1	2	4		5	1541	0	2	4	5	2	1	4	3	1	1	2	0	0	1	England	6	3	4	5	4	16	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
207856		6	6005	1993	1	0	0	5	2		6	9955	0	1	0	9	2	1	7	7	1	1	0	0	2	1	England	6	7	5	3	1	0	29/12/1932 00:00:00		0	0	0	0	0	0	2	3	0	2	0	0					0
207857		6	6005	1993	1	0	1	5	2		6	9955	0	1	0	9	2	1	7	6	1	1	0	1	2	1	England	6	6	5	3	1	0	31/12/1932 00:00:00		0	0	0	0	0	0	2	5	2	2	0	0					0
207858		6	6005	1993	1	1	1	6	2		3	2144	0	1	9	5	2	1	2	2	1	1	0	0	0	1	England	6	2	2	3	1	2	30/12/1932 00:00:00		0	2	0	0	0	0	2	4	2	2	0	0					0
207859		6	6005	1993	1	0	1	5	2		3	754	0	2	0	9	2	1	5	4	1	1	0	0	0	1	England	6	4	2	3	1	2	30/12/1932 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
207860		6	6005	1993	1	0	1	5	3		3	9955	0	1	10	5	2	1	6	6	2	1	0	1	2	1	England	6	6	2	8	1	2	27/12/1932 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					0
207861		6	6005	1993	1	1	1	6	4		4	2422	0	1	4	5	2	1	3	3	1	2	1	0	0	1	England	6	3	3	10	7	27	28/12/1932 00:00:00		0	3	744	0	2	0	2	2	0	2	3	0					0
207862		6	6005	1993	1	0	1	5	2		4	2511	0	1	0	9	2	1	5	5	1	1	0	0	0	1	England	6	5	3	3	1	3	30/12/1932 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
207863		6	6005	1993	1	1	1	6	2		1	2514	0	1	10	5	2	1	6	6	1	1	0	0	2	1	England	6	6	1	3	1	1	27/12/1932 00:00:00		0	1	0	0	0	0	2	1	1	2	0	0					0
207864		6	6005	1993	1	1	1	6	3		5	2422	0	1	1	2	2	1	3	3	1	1	1	0	0	1	England	6	3	4	4	3	12	4/1/1933 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207865		6	6019	1993	1	1	1	5	4		3	641	0	2	8	5	2	1	4	3	1	1	2	0	0	1	England	6	3	2	5	4	14	1/1/1933 00:00:00		0	3	0	0	0	0	2	6	0	2	0	0					0
207866		6	6019	1993	1	0	1	6	4		3	1853	0	2	7	5	2	1	2	2	1	1	2	0	0	1	England	6	2	2	5	4	14	31/12/1932 00:00:00		0	2	0	0	0	0	2	5	0	2	0	0					0
207867		6	6019	1993	1	0	1	6	2		3	9965	0	1	7	5	1	1	2	2	1	1	0	0	0	1	England	6	2	2	3	1	2	3/1/1933 00:00:00		0	2	1154	0	2	0	1	1	0	2	2	0					0
207868		6	6019	1993	1	0	1	6	2		7	9955	0	1	2	1	2	1	5	5	1	1	0	0	0	1	England	6	5	4	3	1	4	30/12/1932 00:00:00		0	0	0	0	0	0	2	4	0	2	0	0					1
207869		6	6019	1993	1	0	0	6	2		4	754	0	2	8	4	1	1	3	3	1	1	0	0	0	1	England	6	3	3	3	1	3	30/12/1932 00:00:00		0	2	0	0	0	0	2	4	0	2	0	0					0
207870		6	6019	1993	1	1	1	1	4		3	744	0	2	7	1	2	1	2	1	1	1	2	0	0	1	England	6	1	2	5	4	14	30/12/1932 00:00:00		0	1	0	0	0	0	2	4	0	2	0	0					0
207871		6	6019	1993	1	0	0	1	2		7	9945	0	1	1	1	1	1	2	2	0	1	1	0	0	1	England	6	2	4	2	2	8	3/1/1933 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					1
207872		6	6019	1993	1	1	1	5	2		4	643	0	2	8	4	1	1	3	3	1	1	0	0	0	1	England	6	3	3	3	1	3	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207873		6	6019	1993	1	1	1	6	4		4	744	0	2	0	9	2	1	3	3	1	1	2	0	0	1	England	6	3	3	5	4	15	31/12/1932 00:00:00		0	2	0	0	0	0	2	5	2	2	0	0					0
207874		6	6019	1993	1	1	1	6	3		3	644	0	2	8	4	2	1	2	2	1	1	1	0	0	1	England	6	2	2	4	3	10	31/12/1932 00:00:00		0	1	0	0	0	0	2	5	2	2	0	0					0
207875		7	7003	1993	1	1	0	5	4		5	2144	0	1	2	5	1	1	5	5	1	2	1	0	0	1	England	10	5	4	10	7	28	30/12/1932 00:00:00		0	1	0	0	0	0	2	4	0	2	0	0					0
207876		7	7003	1993	1	1	1	6	5		3	2422	0	1	10	5	2	1	5	4	3	2	0	0	0	1	England	10	4	2	9	1	2	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207877		7	7003	1993	1	1	1	6	1		3	2514	0	1	8	2	1	1	3	3	1	0	0	0	0	1	England	10	3	2	1	1	2	30/12/1932 00:00:00		0	1	0	0	0	0	2	4	0	2	0	0					0
207878		7	7003	1993	1	1	1	6	2		3	2514	0	1	9	5	2	1	2	1	1	1	0	0	0	1	England	10	1	2	3	1	2	30/12/1932 00:00:00		0	1	0	0	0	0	2	4	0	2	0	0					0
207879		7	7003	1993	1	1	1	6	3		4	2144	0	1	7	5	2	1	4	4	2	1	0	0	0	1	England	10	4	3	8	1	3	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
207880		7	7003	1993	1	0	0	6	3		4	2144	0	1	6	5	1	1	4	4	1	1	1	0	0	1	England	10	4	3	4	3	11	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207881		7	7003	1993	1	1	1	6	3		5	1444	0	2	7	5	2	1	5	4	1	2	0	1	1	1	England	10	4	4	8	1	4	27/12/1932 00:00:00		0	1	0	0	0	0	2	1	0	2	0	0					1
207882		7	7003	1993	1	0	1	6	1		5	2524	0	1	2	1	1	1	3	3	1	0	0	0	0	1	England	10	3	4	1	1	4	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207883		7	7023	1993	1	1	0	6	2		4	644	0	2	8	2	1	1	4	4	2	0	0	0	0	1	England	10	4	3	3	1	3	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207884		7	7023	1993	1	1	1	1	4		3	1744	0	1	7	2	2	1	3	2	1	1	2	0	0	1	England	10	2	2	5	4	14	31/12/1932 00:00:00		0	1	0	0	0	0	2	5	0	2	0	0					0
207885		7	7023	1993	1	0	1	2	1		8	9935	0	1	1	2	1	1	7	7	0	1	0	1	1	1	England	10	7	5	1	1	0	27/12/1932 00:00:00		0	0	0	0	0	0	2	1	0	2	0	0					0
207886		7	7023	1993	1	1	1	5	1		3	2524	0	1	8	3	1	1	4	4	0	1	0	0	0	1	England	10	4	2	1	1	2	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	2	2	0	0					0
207887		7	7023	1993	1	1	1	1	2		7	9945	0	1	3	2	2	1	5	4	1	1	0	0	0	1	England	10	4	4	3	1	4	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					0
207888		8	8049	1993	1	0	1	6	2		3	2544	0	1	9	1	2	1	3	3	1	1	0	0	0	1	England	7	3	2	3	1	2	3/1/1933 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207889		8	8049	1993	1	1	1	6	4		2	2422	0	1	10	1	2	1	3	3	1	1	2	0	0	1	England	7	3	1	5	4	13	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
207890		8	8049	1993	1	1	1	6	3		2	2514	0	1	9	1	2	1	3	3	2	1	0	0	0	1	England	7	3	1	8	1	1	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207891		8	8049	1993	1	1	1	5	4		3	1344	0	2	7	1	2	1	3	3	1	1	2	0	0	1	England	7	3	2	5	4	14	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	2	2	0	0					0
207892		8	8049	1993	1	1	1	6	5		3	2422	0	1	10	2	2	1	4	2	2	2	1	0	0	1	England	7	2	2	10	7	26	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	0	2	0	0					0
207893		8	8049	1993	1	1	1	6	1		5	2422	0	1	3	1	1	1	2	2	1	0	0	0	0	1	England	7	2	4	1	1	4	3/1/1933 00:00:00		0	1	0	0	0	0	2	1	2	2	0	0					0
207894		9	9008	1993	1	1	1	6	3		4	2054	0	2	8	1	2	1	3	3	1	1	1	0	0	1	England	9	3	3	4	3	11	29/12/1932 00:00:00		0	3	0	0	0	0	2	3	0	2	0	0					0
207895		9	9008	1993	1	1	1	1	2		4	9935	0	1	6	5	2	1	6	5	1	1	0	1	1	1	England	9	5	3	3	1	3	29/12/1932 00:00:00		0	1	2144	0	1	0	2	3	0	2	1	0					0
207896		9	9008	1993	1	1	1	6	2		3	2144	0	1	8	6	2	1	2	2	1	1	0	0	0	1	England	9	2	2	3	1	2	29/12/1932 00:00:00		0	2	0	0	0	0	2	3	2	2	0	0					0
207897		9	9008	1993	1	0	1	1	1		7	9935	0	1	2	1	1	1	7	7	1	0	0	1	1	1	England	9	7	4	1	1	4	2/1/1933 00:00:00		0	0	0	0	0	0	2	7	0	2	0	0					0
207898		9	9021	1993	1	0	1	6	4		2	2122	0	1	0	9	2	1	3	3	1	1	2	0	0	1	England	7	3	1	5	4	13	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	0	2	0	0					0
207899		9	9021	1993	1	1	1	5	3		4	2144	0	1	7	5	1	1	4	4	1	2	0	0	0	1	England	7	4	3	8	1	3	28/12/1932 00:00:00		0	1	0	0	0	0	2	2	2	2	0	0					0
207900		9	9021	1993	1	1	1	6	3		3	2144	0	1	0	9	2	1	4	2	1	1	1	0	0	1	England	7	2	2	4	3	10	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207901		9	9021	1993	1	1	1	6	4		3	2354	0	2	0	9	2	1	2	2	1	1	2	0	0	1	England	7	2	2	5	4	14	27/12/1932 00:00:00		0	2	0	0	0	0	2	1	0	2	0	0					0
207902		9	9021	1993	1	1	1	6	7		3	1541	0	2	9	4	2	1	3	3	3	1	3	0	0	1	England	7	3	2	11	7	26	27/12/1932 00:00:00		0	3	0	0	0	0	2	1	0	2	0	0					0
207903		9	9021	1993	1	0	1	5	4		3	2422	0	1	0	9	2	1	5	5	2	2	0	0	0	1	England	7	5	2	9	1	2	27/12/1932 00:00:00		0	3	0	0	0	0	2	1	0	2	0	0					0
207904		9	9021	1993	1	1	1	6	1		4	2144	0	1	0	9	1	1	4	4	0	1	0	0	0	1	England	7	4	3	1	1	3	29/12/1932 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
207905		9	9047	1993	1	1	1	6	4		4	844	0	2	0	9	2	1	2	2	1	1	2	0	0	1	England	9	2	3	5	4	15	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
207906		9	9047	1993	1	1	1	6	3		7	9935	0	1	0	1	2	1	6	6	2	1	0	2	2	1	England	9	6	4	8	1	4	28/12/1932 00:00:00		0	0	0	0	0	0	2	2	0	2	0	0					1
207907		9	9047	1993	1	0	1	6	3		3	2122	0	1	7	7	1	1	3	3	0	1	2	0	0	1	England	9	3	2	2	2	6	29/12/1932 00:00:00		0	1	0	0	0	0	2	3	0	2	0	0					0
207908		9	9047	1993	1	1	1	6	3		4	641	0	2	0	9	2	1	2	2	1	1	1	0	0	1	England	9	2	3	4	3	11	28/12/1932 00:00:00		0	2	0	0	0	0	2	2	0	2	0	0					0
